NAME          REFERENCE                TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
drakkar-api   Deployment/drakkar-api   cpu: 1%/70%   2         5         2          28h
drakkar-api   Deployment/drakkar-api   cpu: 866%/70%   2         5         2          28h
drakkar-api   Deployment/drakkar-api   cpu: 809%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 576%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 489%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 499%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 501%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 529%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 510%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 495%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 488%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 501%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 507%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 491%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 489%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 461%/70%   2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 90%/70%    2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 1%/70%     2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 1%/70%     2         5         5          28h
drakkar-api   Deployment/drakkar-api   cpu: 1%/70%     2         5         2          28h
